prod_ID,good ID,revenue,salaries paid,assets spending,income,dividends,retained,no-cash assets value,cash,units sold,units offered,price exp,time
1,apple,1327.5441196263882,763.2396760850049,0,564.3044435413833,253.9369995936225,310.3674439477608,0.0,6615.57479712169,45,45,30.976029457949085,15
2,apple,1326.3592743980928,983.1993007953289,0,343.1599736027639,154.42198812124374,188.73798548152016,0.0,6021.917893706552,47,47,29.63143059825526,15
3,apple,1872.1421352691104,759.2085184234904,0,1112.93361684562,500.820127580529,612.113489265091,936.5743365179065,7861.568058854565,45,45,43.683316489612594,15
4,apple,1223.1976019045596,604.9274762661405,0,618.2701256384191,278.2215565372886,340.0485691011305,0.0,7565.938178509456,41,41,31.32579224389726,15
5,apple,394.6856866762724,703.9277845248226,0,-309.24209784855026,0,-309.24209784855026,2593.522112873311,10314.951902822353,9,49,38.372219537970935,15
6,apple,1518.298920345448,378.39307866711965,0,1139.9058416783284,512.9576287552478,626.9482129230806,1234.3211032019572,10214.150458194108,40,40,39.85534665906801,15
7,apple,356.59898537157454,545.6078156302605,0,-189.00883025868592,0,-189.00883025868592,1945.6383285061754,9814.842085362148,8,41,39.13567733802623,15
8,apple,0,859.3143781805203,0,-859.3143781805203,0,-859.3143781805203,1837.2033893315008,8447.972465389319,0,46,35.09455609252918,15
9,apple,1799.4937907139906,594.4386851728542,0,1205.0551055411365,542.2747974935114,662.7803080476251,792.7932017006585,10094.999783777474,42,44,44.69162642862088,15
10,art,320.0052563676496,0,132.41016415906063,187.595092208589,84.41779149386505,103.17730071472394,161.7014482580342,5762.978451856412,4,4,84.00137979650803,15
11,art,241.86031802118754,0,135.70451000625312,106.15580801493442,47.770113606720486,58.385694408213936,198.2116268688094,5381.819335071842,3,3,84.65111130741565,15
12,art,247.85798588398393,0,132.99041980612805,114.86756607785588,51.690404735035145,63.17716134282074,171.1775412748601,4966.139546256285,4,4,65.06272129454578,15
13,art,159.53396952922213,0,127.21760870184258,32.316360827379555,14.542362372320799,17.773998455058756,166.5429170308783,5283.821041148943,4,4,41.87766700142081,15
14,art,136.61728253406295,0,129.81388643045162,6.803396103611334,3.0615282466251004,3.7418678569862336,170.94123735089278,5780.343647836405,4,4,35.862036665191525,15
15,art,270.92587350134147,0,137.23680411612133,133.68906938522014,60.16008122334906,73.52898816187107,171.1775412748601,5332.982091351238,4,4,71.11804179410214,15
16,art,258.36210359377856,0,130.27632960600297,128.08577398777558,57.63859829449901,70.44717569327656,178.81233200506648,5404.491831296169,4,4,67.82005219336688,15
17,art,184.0766246885829,0,103.81395015478364,80.26267453379927,36.11820354020967,44.1444709935896,171.1775412748601,5840.471549034563,3,3,64.42681864100403,15
18,art,214.68252708174447,0,124.62133097323354,90.06119610851093,40.52753824882992,49.53365785968101,164.66319973546948,5174.539462819622,4,4,56.354163358957926,15
19,art,152.78620903044424,0,154.5482219367627,-1.7620129063184606,0,-1.7620129063184606,186.28237896837902,5239.65774826004,4,4,40.106379870491615,15
20,pear,278.44292048061016,65.18153377422486,0,213.26138670638528,95.96762401787338,117.2937626885119,56.24775598695488,6215.971807106987,15,15,19.491004433642708,15
21,pear,314.7984842551704,98.53928549119894,0,216.25919876397148,97.31663944378717,118.94255932018432,148.68450564685918,5704.077826360943,19,19,17.396758340417314,15
22,pear,599.3451176753329,548.4852274726206,0,50.85989020271222,22.8869505912205,27.97293961149172,99.40625326651872,5450.734581171215,35,35,17.980353530259983,15
23,pear,408.3621574089075,320.1610507964159,0,88.20110661249157,39.690497975621206,48.510608636870366,128.74447072725025,4335.589627785857,28,28,15.31358090283403,15
24,pear,129.75747054513087,0,0,129.75747054513087,58.39086174530889,71.36660879982199,68.45078131058757,6554.560638350181,7,7,19.46362058176963,15
25,pear,442.7552622512356,177.7631444283487,0,264.9921178228869,119.2464530202991,145.74566480258778,32.26487219541795,6078.123033692127,25,25,18.59572101455189,15
26,pear,494.17439433032075,414.61634266034616,0,79.55805166997459,35.80112325148856,43.75692841848603,122.59458940042346,4807.829848568389,31,31,16.738164969252804,15
27,pear,551.6291466714126,507.28606837220383,0,44.3430782992088,19.954385234643958,24.38869306456484,140.1881304527891,5229.409040927228,34,34,17.035606000146565,15
28,pear,128.873726689643,0,0,128.873726689643,57.99317701033935,70.88054967930366,66.75929711220692,6080.993569732382,7,7,19.331059003446452,15
29,pear,480.1280962980879,379.5213499008136,0,100.60674639727426,45.27303587877342,55.333710518500844,62.59709981669328,5366.030967355531,28,28,18.004803611178296,15
0,apple,302.3229425230044,548.8084514612705,0,-246.4855089382661,0,-246.4855089382661,1217.4890283343254,9066.31794549509,7,38,37.83650990062021,16
1,apple,1362.9452961497589,742.2924657841286,0,620.6528303656303,279.2937736645336,341.3590567010967,0.0,6894.868570786228,44,44,32.52483093084654,16
2,apple,1244.5200851267211,783.1708789635264,0,461.3492061631947,207.6071427734376,253.7420633897571,0.0,6166.062042390872,42,42,31.113002128168024,16
3,apple,1114.7982368149133,759.2085184234904,0,355.5897183914228,160.01537327614028,195.57434511528254,1385.4828773246509,8021.583432130702,26,44,40.188651170443585,16
4,apple,1190.3801052680963,521.4017216183995,0,668.9783836496968,301.04027264236356,367.9381110073332,0.0,7866.9784511518155,38,38,32.892081856092126,16
5,apple,1995.355415974489,601.2664656549147,0,1394.0889503195745,627.3400276438085,766.7489226757659,1951.5136544400852,10942.291930466157,52,52,40.290830514869484,16
6,apple,1634.0692130217894,546.4488629092324,0,1087.620350112557,489.42915755065064,598.1911925619063,917.4270751494441,10515.206939444966,41,41,41.84811399202141,16
